id,relative.humidity,air.temp,ECSt.mAU,gH.,leaf.angle,leaf.temp.differential,LEF,par,NPQt,Phi2,PhiNO,PhiNPQ,ps1.active.centers,ps1.open.centers,ps1.over.reduced.centers,ps1.oxidized.centers,relative.chlorophyll,leaf.thickness,vH.,time
2021eco_Burnet14_i_01,66.693,24.93,0.00018,198.441,11.545,-0.32,81.9733896,304.112,0.152,0.599,0.348,0.053,2.99,0.641,0.264,0.095,75.03,1.55,0.036,5/27/21 18:33
2021eco_Burnet14_i_02,67.887,25.36,0.00052,257.222,53.177,-1.33,177.663758,794.383,0.279,0.497,0.394,0.11,3.5,0.29,0.515,0.194,73.51,0.62,0.134,5/27/21 18:34
2021eco_Burnet14_i_03,67.063,26.63,0.00037,113.73,10.309,-1.54,89.2703574,390.509,0.577,0.508,0.312,0.18,3.84,0.249,0.616,0.135,77.01,1.01,0.042,5/27/21 18:37
2021eco_Burnet14_i_04,61.902,27.6,0.00022,290.506,11.574,-2.69,94.08256335,317.257,0.036,0.659,0.329,0.012,1.094,0.948,-0.164,0.216,33.71,2.74,0.064,5/27/21 18:42
2021eco_Burnet14_i_05,62.504,28.02,0.00011,261.211,6.911,0.55,128.7385272,451.952,0.095,0.633,0.335,0.032,0.334,1.162,-0.987,0.825,12.9,4.47,0.029,5/27/21 18:44
2021eco_Burnet14_i_06,62.826,28.25,0.00009,200.391,12.948,0,119.5663248,425.806,0.116,0.624,0.337,0.039,1.164,0.862,-0.298,0.436,17.8,3.32,0.018,5/27/21 18:46
2021eco_Burnet14_i_07,60.383,28.55,0.00139,84.268,1.798,-1.56,93.88707075,403.555,0.307,0.517,0.37,0.113,1.736,0.384,0.04,0.576,38.82,4.08,0.117,5/27/21 18:48
2021eco_Burnet14_i_08,59.367,28.85,0.00073,190.111,13.906,-4.58,105.4807961,423.873,0.198,0.553,0.373,0.074,1.629,0.485,0.077,0.438,52.26,2,0.139,5/27/21 18:50
2021eco_Burnet14_i_09,57.239,29.02,0.00109,94.14,35.35,-5.17,72.3778893,305.779,0.243,0.526,0.381,0.093,1.216,0.342,0.068,0.59,47.22,1.92,0.103,5/27/21 18:52
2021eco_Burnet14_i_09,57.857,29.22,0.00037,109.201,6.894,-0.73,73.292292,557.78,0.792,0.292,0.395,0.313,1.478,0.557,0.078,0.365,12.35,4.34,0.04,5/27/21 18:57
2021eco_Burnet14_i_11,58.307,29.28,0.00246,13.073,15.689,-2.25,83.2578426,363.492,0.667,0.509,0.294,0.196,0.674,0.948,0.052,0,18.77,4.86,0.032,5/27/21 18:59
2021eco_Burnet14_i_12,58.547,29.42,0.00015,293.087,9.396,-2.53,139.5423189,628.994,0.531,0.493,0.331,0.176,1.51,0.706,0.039,0.255,14.09,5.57,0.044,5/27/21 19:02
2021eco_Burnet14_i_13,55.896,29.62,0.00036,223.873,3.1,-4.87,159.7462749,594.626,0.146,0.597,0.352,0.051,-1.449,-0.489,2.148,-0.66,67.32,0.11,0.081,5/27/21 19:06
2021eco_Burnet14_i_14,55.55,29.73,0.00018,153.944,14.855,-5.92,79.6362336,287.288,0.214,0.616,0.317,0.068,-0.102,-12.42,21.074,-7.654,74.43,0.48,0.028,5/27/21 19:07
2021eco_Burnet14_i_15,55.75,29.76,0.00097,202.831,5.532,-4.85,177.7624542,1135.137,0.406,0.348,0.464,0.188,2.299,0.234,0.223,0.543,71.21,1.86,0.197,5/27/21 19:09
2021eco_Burnet12_i_04,47.599,30.85,0.00203,80.063,36.719,-0.52,111.8977092,1151.211,1.221,0.216,0.353,0.431,1.76,0.06,-0.213,1.152,41.21,4.27,0.163,5/27/21 20:30
2021eco_Burnet12_i_05,48.572,31.44,0.00164,175.035,15.963,-3.83,216.7227144,2015.088,1.638,0.239,0.289,0.473,1.57,0.173,-0.3,1.127,44,3.83,0.287,5/27/21 20:31
2021eco_Burnet12_i_06,48.512,31.97,0.00053,110.068,31.783,-1,174.7732068,1666.888,0.927,0.233,0.398,0.369,1.027,0.003,-0.766,1.763,9.23,2.08,0.058,5/27/21 20:33
2021eco_Burnet12_i_07,45.921,32.72,5.1729,0.001,5.192,-1.29,175.9765995,653.945,0.284,0.598,0.313,0.089,0.083,2.935,-2.657,0.722,4.55,1.94,0.005,5/27/21 20:37
2021eco_Burnet12_i_08,45.42,33.1,0.00011,517.22,27.035,-6.85,139.0382105,560.751,0.369,0.551,0.328,0.121,0.531,1.018,-0.394,0.376,8.6,1.3,0.057,5/27/21 20:41
2021eco_Burnet12_i_09,46.564,33.17,0.00022,231.749,27.954,-2.24,507.2063432,3601.039,2.982,0.313,0.172,0.514,0.571,-1.063,-4.169,6.232,4.38,0.93,0.051,5/27/21 20:43
2021eco_Burnet12_i_10,44.524,34.14,0.00092,283.915,12.504,-4.91,204.8985572,891.057,0.829,0.511,0.267,0.222,1.144,0.772,-0.341,0.569,50.56,1.06,0.261,5/27/21 20:46
2021eco_Burnet12_i_11,43.143,34.45,0.00063,233.819,38.996,-8.06,220.4666541,968.233,0.548,0.506,0.319,0.175,1.217,0.697,-0.29,0.593,50.74,0.33,0.147,5/27/21 20:48
2021eco_Burnet12_i_12,44.141,34.42,0.00037,296.331,14.86,-6.53,135.0420822,537.802,0.381,0.558,0.32,0.122,1.477,0.994,-0.209,0.215,46.41,1.69,0.11,5/27/21 20:50
2021eco_Burnet12_i_13,42.747,34.23,0.0014,205.138,27.442,-8.76,353.510721,1749.62,1.053,0.449,0.269,0.283,1.375,0.344,-0.407,1.063,57.91,0.72,0.287,5/27/21 20:52
2021eco_Burnet12_i_14,44.346,34.11,0.00111,248.863,18.25,-6.5,271.7159112,1237.322,0.792,0.488,0.286,0.226,1.454,1.126,-0.134,0.008,62.22,0.84,0.276,5/27/21 20:54
2021eco_Burnet12_i_15,44.849,33.86,0.00067,248.901,9.215,-8.39,174.985272,720.104,0.481,0.54,0.311,0.149,1.306,1.187,-0.763,0.576,68.44,0.82,0.167,5/27/21 20:55
2021eco_Bell_i_01,67.604,24.26,0.00047,121.65,9.939,-1.35,57.8911752,273.136,0.169,0.471,0.453,0.077,2.429,0.154,0.484,0.362,44.23,1.52,0.057,5/28/21 18:35
2021eco_Bell_i_05,67.303,24.92,0.00055,209.375,5.596,-1.63,86.892687,372.77,0.171,0.518,0.411,0.07,2.935,0.428,0.347,0.224,55.47,1.27,0.115,5/28/21 18:37
2021eco_Bell_i_06,66.013,25.39,0.0009,143.716,18.011,-2.2,96.5248992,462.284,0.194,0.464,0.449,0.087,2.284,0.457,0.193,0.35,54.26,1.83,0.129,5/28/21 18:39
2021eco_Bell_i_07,66.218,25.91,0.00044,178.042,18.805,-1.72,123.9226506,469.938,0.187,0.586,0.349,0.065,3.593,0.592,0.268,0.14,66.96,1.28,0.078,5/28/21 18:42
2021eco_Bell_i_08,65.479,26.31,0.00051,233.819,24.414,-0.54,105.737396,400.293,0.138,0.587,0.363,0.05,2.751,0.705,0.173,0.122,61.48,1.14,0.119,5/28/21 18:43
2021eco_Bell_i_09,65.11,26.55,0.0007,194.069,12.286,-1.56,167.0932008,677.588,0.185,0.548,0.381,0.071,2.278,0.785,0.052,0.164,72.81,0.91,0.136,5/28/21 18:45
2021eco_Bell_i_10,63.058,27.25,0.00025,349.12,8.29,0.36,47.1702852,180.108,0.251,0.582,0.334,0.084,2.031,0.962,-0.011,0.049,47.22,2.5,0.087,5/28/21 18:51
2021eco_Bell_i_11,63.871,27.75,0.00121,196.67,5.597,0.1,181.908279,767.06,1.051,0.527,0.23,0.242,-17.118,-0.065,1.077,-0.012,34.69,1.93,0.238,5/28/21 18:53
2021eco_Bell_i_12,61.611,28.18,0.00022,232.691,3.578,-2.99,52.8863067,191.409,0.133,0.614,0.34,0.045,1.957,1.048,-0.155,0.107,51.16,2.26,0.051,5/28/21 18:55
2021eco_Bell_i_13,60.275,28.69,0.00036,477.521,20.936,-0.76,111.4847766,771.788,1.618,0.321,0.26,0.42,0.533,-1.552,-1.792,4.344,26.99,4.61,0.172,5/28/21 19:03
2021eco_Bell_i_14,60.721,28.98,0.00073,236.164,24.348,-1.63,192.3343083,1331.494,2.018,0.321,0.225,0.454,2.489,-0.038,-0.14,1.178,55.74,3.95,0.172,5/28/21 19:05
2021eco_Bell_i_15,59.515,29.35,0.00063,214.915,6.341,-1.82,137.5116138,677.564,1.646,0.451,0.208,0.342,1.307,0.1,0.286,0.614,37.69,6.57,0.135,5/28/21 19:07
2021eco_Fayette12_i_01,75.582,25.93,0.00097,193.769,8.36,2.64,333.1735776,2606.992,2.913,0.284,0.183,0.533,3.782,0.601,0.805,-0.406,36.12,0.41,0.188,5/28/21 22:05
2021eco_Fayette12_i_02,74.71,27.01,0.00144,175.7,4.614,2.32,459.53019,3647.065,1.641,0.28,0.272,0.447,4.217,0.537,0.599,-0.136,59.05,0.49,0.253,5/28/21 22:06
2021eco_Fayette12_i_03,72.523,28.02,0.00141,228.445,7.38,2.77,508.140027,3401.205,1.374,0.332,0.281,0.386,6.803,0.61,0.744,-0.354,73.09,0.8,0.322,5/28/21 22:07
2021eco_Fayette12_i_04,66.739,29.83,0.00085,226.55,23.101,1.98,379.3438935,2947.505,2.926,0.286,0.182,0.532,1.914,0.35,0.572,0.079,30.47,1.41,0.193,5/28/21 22:10
2021eco_Fayette12_i_05,65.74,30.49,0.00043,253.206,25.826,2.84,356.3858628,1974.984,2.631,0.401,0.165,0.434,2.034,0.59,0.769,-0.359,13.32,1.35,0.109,5/28/21 22:11
2021eco_Fayette12_i_06,64.886,31.37,0.00047,168.065,6.463,1.22,396.4580235,3263.029,4.693,0.27,0.128,0.602,0.94,0.125,0.436,0.439,11.5,1.64,0.079,5/28/21 22:13
2021eco_Fayette12_i_10,57.124,33.57,0.00036,500.086,9.379,-1.64,200.2250844,990.968,2.407,0.449,0.162,0.389,1.236,0.222,-0.189,0.967,36.85,3.45,0.18,5/28/21 22:18
2021eco_Fayette12_i_11,54.314,33.93,0.00123,244.298,10.207,-1.26,273.33666,1518.537,2.744,0.4,0.16,0.44,-3.403,-0.12,1.627,-0.508,37.34,0.03,0.3,5/28/21 22:20
2021eco_Fayette12_i_12,53.542,34.25,0.00077,328.409,20.229,-1.14,273.812562,3306.915,3.621,0.184,0.177,0.639,3.187,0.17,0.277,0.553,64.1,5.1,0.253,5/28/21 22:21
2021eco_Fayette09_i_01,63.304,21.67,0.0005,101.717,16.383,0.96,61.3130355,253.255,0.651,0.538,0.28,0.182,2.934,0.272,0.554,0.174,55.73,0.26,0.051,5/29/21 18:23
2021eco_Fayette09_i_02,65.677,22.11,0.00023,212.594,7.853,-0.4,33.1703397,128.642,0.452,0.573,0.294,0.133,2.74,0.343,0.529,0.128,49.62,1.47,0.049,5/29/21 18:24
2021eco_Fayette09_i_03,67.32,22.6,0.00049,217.04,6.379,-0.45,79.26990615,339.413,0.367,0.519,0.352,0.129,2.006,0.235,0.38,0.385,46.15,0.11,0.106,5/29/21 18:25
2021eco_Fayette09_i_04,65.577,24.54,0.00037,138.113,25.439,-2.07,34.69353525,133.155,0.405,0.579,0.3,0.121,2.414,0.506,0.361,0.134,58.33,3.13,0.051,5/29/21 18:31
2021eco_Fayette09_i_06,64.943,24.77,0.00051,137.955,11.416,-2.34,42.6808287,161.578,0.471,0.587,0.281,0.132,1.48,0.594,0.261,0.145,52.63,3.48,0.07,5/29/21 18:32
2021eco_Fayette09_i_06,64.17,25,0.00026,195.057,21.119,-3.09,26.4875373,92.841,0.278,0.634,0.286,0.08,2.283,0.778,0.153,0.069,57.46,0.85,0.051,5/29/21 18:33
2021eco_Fayette09_i_07,65.733,25.84,0.00026,170.162,19.482,-2.41,61.971858,246.36,0.226,0.559,0.36,0.081,2.494,0.098,0.683,0.22,35.09,1.4,0.044,5/29/21 18:38
2021eco_Fayette09_i_08,66.142,26.26,0.00012,196.26,5.766,-0.79,57.30995565,237.161,0.279,0.537,0.362,0.101,1.101,0.062,0.563,0.375,12.21,2.25,0.024,5/29/21 18:40
2021eco_Fayette09_i_09,67.022,26.82,0.00011,138.791,20.578,0.11,56.9325663,215.899,0.341,0.586,0.309,0.105,0.349,0.055,-0.246,1.191,5.93,2.29,0.015,5/29/21 18:43
2021eco_Fayette09_i_10,59.952,27.58,0.00008,154.032,35.265,-0.59,24.64638255,88.481,0.267,0.619,0.3,0.08,1.767,0.574,0.267,0.159,18.82,1.18,0.012,5/29/21 18:47
2021eco_Fayette09_i_11,61.604,27.63,0.00032,136.162,31.308,-5.72,62.3596752,245.704,0.321,0.564,0.33,0.106,3.059,0.012,0.698,0.29,38.39,1.63,0.044,5/29/21 18:49
2021eco_Fayette09_i_12,61.288,27.69,0.0004,236.843,12.799,-5.6,63.84096675,230.681,0.189,0.615,0.324,0.061,1.391,0.42,0.315,0.265,35.09,1.98,0.095,5/29/21 18:51
2021eco_Fayette09_i_13,60.035,27.25,0.00067,116.931,23.991,-3.72,38.946816,169.04,0.791,0.512,0.272,0.215,-0.662,0.087,3.103,-2.19,30.18,2.51,0.078,5/29/21 18:58
2021eco_Fayette09_i_14,58.927,27.36,0.00086,108.747,24.551,-3.97,56.4062373,259.518,1.219,0.483,0.233,0.284,-0.274,-1.441,4.171,-1.731,27.3,2.14,0.094,5/29/21 19:00
2021eco_Fayette09_i_15,59.074,27.34,0.00092,85.022,15.219,-3.99,67.95746685,321.997,0.711,0.469,0.31,0.221,-1.655,-0.176,1.788,-0.612,32.4,1.87,0.078,5/29/21 19:01
2021eco_Austin_i_01,58.771,27.14,0.00013,245.437,29.505,-0.35,104.294133,381.82,0.166,0.607,0.337,0.056,0.564,10.967,-2.644,-7.323,9.58,1.38,0.032,5/29/21 21:04
2021eco_Austin_i_02,57.962,27.86,0.00025,541.822,1.899,-0.05,367.013376,3398.272,0.882,0.24,0.404,0.356,1.209,0.211,0.806,-0.018,3.41,1.89,0.135,5/29/21 21:06
2021eco_Austin_i_03,57.392,28.67,0.00128,172.124,10.058,-2.72,301.5934826,2952.457,0.901,0.227,0.407,0.366,0.225,0.032,-8.01,8.979,30.41,1.31,0.22,5/29/21 21:08
2021eco_Austin_i_04,54.011,29.62,0.00152,141.258,8.217,-2.59,252.0581427,3314.374,0.99,0.169,0.418,0.413,2.795,0.069,0.291,0.641,40.91,5.26,0.215,5/29/21 21:10
2021eco_Austin_i_05,53.538,30.16,0.00231,124.901,28.948,0.63,301.610466,3723.586,5.88,0.18,0.119,0.701,2.47,0.229,0.376,0.395,45.43,2.03,0.289,5/29/21 21:12
2021eco_Austin_i_06,50.96,30.65,0.00208,177.919,21.122,-1.22,330.5985593,3294.455,5.334,0.223,0.123,0.654,0.552,0.867,-3.063,3.195,45.7,3.39,0.37,5/29/21 21:14
2021eco_Austin_i_07,52.985,31,0.00155,155.792,4.606,-1.25,403.6767345,3917.29,4.027,0.229,0.153,0.617,0.806,-0.122,-1.128,2.249,44.76,-0.02,0.241,5/29/21 21:16
2021eco_Austin_i_08,52.175,31.47,0.00127,222.825,6.437,-2,387.8440988,3830.559,4.197,0.225,0.149,0.626,1.807,0.138,0.255,0.607,40.77,1.64,0.283,5/29/21 21:19
2021eco_Austin_i_09,49.989,31.89,0.00192,138.719,16.873,-2.88,442.1878421,3914.899,3.402,0.251,0.17,0.579,1.594,0.267,-0.535,1.268,47.71,0.29,0.266,5/29/21 21:21
2021eco_Austin_i_10,49.62,32.36,0.00181,189.553,7.995,-4.25,380.116881,3579.255,3.728,0.236,0.162,0.602,1.116,0.052,-0.683,1.631,37.54,1.91,0.343,5/29/21 21:25
2021eco_Austin_i_11,49.836,32.62,0.00049,278.695,13.99,0.23,287.006049,2899.051,0.498,0.22,0.52,0.259,-1.388,0.312,2.358,-1.67,22.86,1.33,0.137,5/29/21 21:27
2021eco_Austin_i_12,46.321,32.86,0.00154,179.763,3.267,-6.07,260.4043404,3572.076,0.44,0.162,0.582,0.256,0.703,-0.052,-0.049,1.101,39.38,2.04,0.277,5/29/21 21:29
2021eco_Austin_i_13,48.131,32.89,0.00063,315.469,6.112,-3.88,410.7491924,3665.767,1.858,0.249,0.263,0.488,1.529,0.276,0.175,0.549,41.37,1.8,0.199,5/29/21 21:33
2021eco_Austin_i_14,48.527,33.1,0.0005,257.072,14.214,-4.25,337.462713,3537.345,1.788,0.212,0.283,0.506,0.939,0.127,0.223,0.65,21.32,1.93,0.129,5/29/21 21:35
2021eco_Austin_i_15,46.46,33.29,0.00026,193.902,17.943,-5.36,498.540461,3367.379,1.151,0.329,0.312,0.359,1.269,0.431,-0.561,1.13,20.27,0.02,0.05,5/29/21 21:37
2021eco_Brazos16_i_01,55.676,26.82,0.00093,155.242,26.783,-2.45,144.1122111,643.071,0.521,0.498,0.33,0.172,1.864,0.543,-0.008,0.465,41.41,1.29,0.144,5/30/21 18:40
2021eco_Brazos16_i_02,56.256,27.21,0.00091,172.51,22.522,-2.46,148.3759215,701.541,0.591,0.47,0.333,0.197,3.317,0.117,0.534,0.35,34.34,0.66,0.157,5/30/21 18:42
2021eco_Brazos16_i_04,53.803,27.59,0.00134,125.812,27.233,-3.22,309.1996778,1572.335,0.353,0.437,0.416,0.147,1.705,-0.093,0.086,1.007,59.37,0.23,0.169,5/30/21 18:47
2021eco_Brazos16_i_05,53.526,28.19,0.00136,146.012,82.552,-4.52,348.739187,1638.427,1,0.473,0.263,0.263,-1.363,0.693,13.009,-12.702,42.45,0.27,0.199,5/30/21 18:53
2021eco_Brazos16_i_06,53.058,28.05,0.00024,424.801,77.71,-6.06,166.6334664,625.501,0.169,0.592,0.349,0.059,-0.47,0.112,3.479,-2.591,28.58,0.15,0.102,5/30/21 18:55
2021eco_Brazos16_i_07,53.96,28.43,0.00163,153.224,11.261,-0.08,283.9194387,2229.442,4.415,0.283,0.132,0.585,1.179,0.181,-0.689,1.507,34.58,5.44,0.25,5/30/21 18:59
2021eco_Brazos16_i_08,54.32,28.91,0.00067,207.787,19.611,0.06,127.5394491,594.174,2.347,0.477,0.156,0.367,1.056,0.497,-0.134,0.637,29.59,6.14,0.139,5/30/21 19:01
2021eco_Brazos16_i_09,54.352,29.36,0.00122,175.392,10.964,-1.15,174.7940598,1091.099,3.925,0.356,0.131,0.513,0.945,0.247,-0.359,1.113,29.39,5.3,0.214,5/30/21 19:03
2021eco_Brazos16_i_10,49.79,30.19,0.00021,330.289,22.978,0,92.1118176,326.464,0.231,0.627,0.303,0.07,1.024,0.928,-0.276,0.348,26.01,4.54,0.069,5/30/21 19:07
2021eco_Brazos16_i_11,53.082,30.33,0.00009,778.171,24.851,-1.18,109.1531903,414.637,0.38,0.585,0.301,0.114,1.024,0.933,-0.297,0.364,10.71,1.7,0.07,5/30/21 19:09
2021eco_Brazos16_i_12,54.367,30.66,0.00004,429.08,25.896,-0.01,86.6165481,319.206,0.205,0.603,0.33,0.068,0.447,1.288,-0.765,0.477,8.69,2.56,0.017,5/30/21 19:14
2021eco_Brazos16_i_13,48.199,30.57,0.00075,172.479,27.656,-5.1,171.1094198,854.479,0.687,0.445,0.329,0.226,1.646,0.323,0.05,0.627,55.97,3.43,0.129,5/30/21 19:19
2021eco_Brazos16_i_14,49.563,30.57,0.00108,191.66,19.903,-3.72,164.4171628,1167.321,1.15,0.313,0.319,0.367,1.592,0.037,-0.093,1.055,42.55,4.01,0.207,5/30/21 19:20
2021eco_Brazos16_i_15,49.316,30.66,0.00089,181.076,12.862,-1.99,182.7657927,937.982,1.102,0.433,0.27,0.297,1.403,0.366,-0.119,0.753,48.66,3.33,0.161,5/30/21 19:21
2021eco_Brazos18_i_01,52.513,29.25,0.00113,186.336,10.648,-1.72,247.5404064,1267.488,1.175,0.434,0.26,0.306,3.616,0.486,0.22,0.294,75.46,0.87,0.211,5/30/21 20:44
2021eco_Brazos18_i_02,54.498,29.81,0.00078,232.09,12.701,0.84,169.6738032,797.152,0.767,0.473,0.298,0.229,3.87,0.489,0.327,0.184,75.79,2.64,0.181,5/30/21 20:46
2021eco_Brazos18_i_03,53.53,30.39,0.0012,217.158,35.963,-0.28,330.7256766,1805.764,1.303,0.407,0.258,0.336,3.862,0.395,0.284,0.32,79.02,1.45,0.261,5/30/21 20:48
2021eco_Brazos18_i_04,50.165,31.26,0.00046,180.722,2.898,-4.05,163.171575,738.5,0.918,0.491,0.265,0.244,2.554,0.378,0.326,0.296,49.32,2.02,0.083,5/30/21 20:50
2021eco_Brazos18_i_05,50.488,31.64,0.00041,196.959,59.302,0.17,219.7859306,1064.081,0.703,0.459,0.318,0.223,2.038,0.358,0.174,0.468,27.87,0.54,0.081,5/30/21 20:52
2021eco_Brazos18_i_06,49.754,32.29,0.00042,210.685,14.317,0.08,197.0037,770.75,0.513,0.568,0.286,0.147,1.765,0.661,-0.033,0.372,49.87,2.61,0.088,5/30/21 20:54
2021eco_Brazos18_i_07,48.095,33,0.00042,223.047,12.728,-0.55,163.39131,789.33,1.195,0.46,0.246,0.294,1.29,0.17,0.246,0.584,29.03,1.86,0.094,5/30/21 20:57
2021eco_Brazos18_i_08,47.648,33.33,0.00041,289.004,25.516,-3.58,180.15624,1582.4,4.803,0.253,0.129,0.619,1.168,0.048,-0.056,1.008,15.24,3.98,0.118,5/30/21 20:59
2021eco_Brazos18_i_09,48.408,33.64,0.00067,180.474,9.831,-1.65,282.795129,2697.14,5.69,0.233,0.115,0.653,1.903,0.114,-0.246,1.132,20.67,4.41,0.121,5/30/21 21:01
2021eco_Brazos18_i_10,45.845,33.94,0.00142,143.56,12.662,-1.01,370.9210671,2592.041,1.188,0.318,0.312,0.37,3.762,0.146,0.507,0.347,45.48,2.09,0.204,5/30/21 21:04
2021eco_Brazos18_i_11,46.19,33.87,0.00025,114.431,38.11,-0.06,278.7674823,1604.879,1.253,0.386,0.273,0.342,1.702,0.103,0.211,0.686,11.88,3.76,0.029,5/30/21 21:06
2021eco_Brazos18_i_12,45.212,33.73,0.00036,226.324,44.875,-1.14,212.2454898,1029.818,0.969,0.458,0.275,0.267,-1.137,-0.474,3.4,-1.926,47.48,1.87,0.081,5/30/21 21:08
2021eco_Washington_i_01,65.164,27.25,0.00035,333.93,35.19,-1.2,78.4722816,302.748,0.732,0.576,0.245,0.179,1.266,0.072,0.72,0.208,45.99,3.35,0.117,6/1/21 7:28
2021eco_Washington_i_02,63.865,27.72,0.00041,312.867,9.845,0.13,140.4875196,661.429,1.272,0.472,0.232,0.296,1.889,-0.054,0.207,0.846,29.37,4.09,0.128,6/1/21 7:31
2021eco_Washington_i_03,63.707,28.07,0.00063,235.561,3.049,-1.04,229.8018528,1905.488,1.995,0.268,0.245,0.488,1.182,0.091,-1.815,2.724,37.08,2.18,0.148,6/1/21 7:33
2021eco_Washington_i_04,62.659,28.3,0.00072,186.906,6.406,-2.63,170.8759238,709.765,0.477,0.535,0.315,0.15,-5.165,0.02,2.371,-1.392,45.36,0.24,0.135,6/1/21 7:36
2021eco_Washington_i_05,62.845,28.46,0.00011,192.135,21.686,-4.57,66.5283114,237.686,0.16,0.622,0.326,0.052,2.267,0.401,0.387,0.212,27.9,0.64,0.021,6/1/21 7:37
2021eco_Washington_i_07,61.278,29.07,0.00145,160.866,22.142,-1.68,215.8769448,2725.719,3.804,0.176,0.172,0.653,0.886,0.297,-0.028,0.731,29.71,0.42,0.233,6/1/21 7:43
2021eco_Washington_i_08,59.737,29.46,0.00183,135.981,10.017,-2.03,196.5190838,2031.205,2.813,0.215,0.206,0.579,1.333,0.032,0.019,0.949,34.76,0.83,0.249,6/1/21 7:45
2021eco_Washington_i_09,58.73,29.67,0.00068,169.76,26.033,-2.88,104.4211455,412.895,0.252,0.562,0.35,0.088,1.94,0.791,0.026,0.183,47.27,1,0.115,6/1/21 7:47
2021eco_Washington_i_13,57.243,29.6,0.00068,118.059,35.704,-4.51,78.20602875,307.595,0.691,0.565,0.257,0.178,2.275,0.428,0.377,0.195,48.64,2.11,0.08,6/1/21 7:55
2021eco_Washington_i_14,58.139,29.6,0.00061,199.551,10.996,-3.89,115.0269642,718.021,1.302,0.356,0.28,0.364,1.209,0.168,-0.104,0.936,30.48,1.14,0.122,6/1/21 7:57
2021eco_Washington_i_15,59.513,29.69,0.00072,212.866,7.977,-3.3,112.7791512,549.606,0.764,0.456,0.309,0.236,0.349,-1.773,-1.445,4.218,35.29,0.29,0.153,6/1/21 7:58
2021eco_Harris_i_01,74.924,26.22,0.0003,254.248,3.525,1.27,193.067784,942.944,0.305,0.455,0.418,0.127,1.526,0.427,0.342,0.23,16.74,0.31,0.076,6/2/21 7:35
2021eco_Harris_i_02,74.615,27.98,0.00051,186.367,15.454,0.09,136.3053915,648.61,0.472,0.467,0.362,0.171,2.587,0.245,0.787,-0.032,20.92,4.62,0.095,6/2/21 7:39
2021eco_Harris_i_03,73.813,28.32,0.00041,234.65,16.751,-0.97,134.8449858,841.729,0.302,0.356,0.495,0.149,1.009,0.131,0.228,0.642,13.72,1.79,0.096,6/2/21 7:40
2021eco_Harris_i_04,72.315,28.89,0.00065,267.249,46.017,0.12,114.574626,677.155,0.983,0.376,0.315,0.309,0.874,0.068,0.223,0.709,31.46,6.37,0.174,6/2/21 7:43
2021eco_Harris_i_05,69.284,29.28,0.00023,727.885,30.793,-0.23,118.2009744,713.774,1.233,0.368,0.283,0.349,0.812,0.028,0.069,0.903,24.25,3,0.167,6/2/21 7:44
2021eco_Harris_i_06,65.595,29.66,0.001,168.457,13.89,-2.13,190.9433232,1409.696,2.437,0.301,0.203,0.495,3.154,0.548,0.397,0.055,33.79,1.83,0.168,6/2/21 7:46
2021eco_Harris_i_07,65.2,30.38,null,null,20.613,-1.71,204.3906813,925.054,1.136,0.491,0.238,0.271,1.241,0.583,0.078,0.339,24.03,4.85,null,6/2/21 7:50
2021eco_Harris_i_08,67.715,30.6,0.00027,207.195,29.734,-1.93,172.6292367,696.226,0.808,0.551,0.248,0.201,1.867,0.327,0.371,0.302,35.94,6.07,0.056,6/2/21 7:52
2021eco_Harris_i_09,64.472,30.68,0.00029,242.645,11.535,-2.65,163.56573,673.11,0.882,0.54,0.245,0.216,1.222,0.207,0.26,0.533,35.27,3.88,0.07,6/2/21 7:54
2021eco_Harris_i_13,60.533,30.8,0.00017,377.237,58.003,-4.19,176.3789445,758.13,0.34,0.517,0.36,0.122,2.621,0.323,0.408,0.269,34.95,5.55,0.064,6/2/21 8:01
2021eco_Harris_i_14,60.921,30.81,0.00024,187.145,18.313,-4.86,208.4832297,880.791,0.275,0.526,0.371,0.102,1.237,0.414,0.409,0.177,23.5,3.57,0.045,6/2/21 8:03
