"","site","sampling.year","id","visit.type","photo","pft","NCRS.code","soil.pH","soil.cec","soil.no3n","soil.phos","soil.potassium","total.leaf.area","dry.wgt","n.leaf","c.leaf","sla","n.area","cn.leaf","d13C","d15n","norm.precip","norm.spei","norm.aridity","month.precip","spei","aridity","chi"
"467","Uvalde_2020_02",2020,"Uvalde_i_11","i","c3","c3_forb","AMAR2",7.5,148,3,11,293,1.95,0.0201,1.78,37.99,96.77,172.25,21.34,-31.84,0.44,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.894868543632808
"468","Uvalde_2020_02",2020,"Uvalde_i_12","i","c3","c3_forb","AMAR2",7.5,148,3,11,293,1.91,0.0269,1.78,41.7,71.01,126.4,23.43,-31.75,0.95,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.890654382850184
"469","Uvalde_2020_02",2020,"Uvalde_i_13","i","c4","c4_graminoid","PAVI2",7.5,148,3,11,293,4.72,0.0604,0.85,41.48,78.1,66.38,48.8,-13.68,0.2,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.0601230138022663
"470","Uvalde_2020_02",2020,"Uvalde_i_14","i","c4","c4_graminoid","PAVI2",7.5,148,3,11,293,11.61,0.1133,1.41,41.59,102.45,144.45,29.5,-14.19,0.3,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.083146036954652
"471","Uvalde_2020_02",2020,"Uvalde_i_15","i","c4","c4_graminoid","PAVI2",7.5,148,3,11,293,12.47,0.1099,1.6,41.29,113.49,181.58,25.81,-15.15,1.12,56.896,-1.30497356993256,0.310942847221347,58.166,1.45985405340589,0.606295467827403,0.126548178353381
"472","Uvalde_2020_02",2020,"Uvalde_p_1a","p","c4","c4_graminoid",NA,7.6,126,2,7,233,5.27,0.075,1.01,43.43,70.22,70.92,43,-14.76,1.05,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.10890585753689
"473","Uvalde_2020_02",2020,"Uvalde_p_1b","p","c3","c3_forb",NA,7.6,126,2,7,233,3.51,0.0507,1.56,46.35,69.17,107.91,29.71,-27.62,0.93,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.698110484138271
"474","Uvalde_2020_02",2020,"Uvalde_p_1c","p","c3","c3_forb",NA,7.6,126,2,7,233,5.14,0.079,1.83,44.52,65.03,119,24.33,-30.17,3.43,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.816799842395515
"475","Uvalde_2020_02",2020,"Uvalde_p_2a","p","c3","c3_forb",NA,7.6,126,2,7,233,2.81,NA,1.77,31.71,NA,NA,17.92,-28.73,1.56,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.749698665673654
"476","Uvalde_2020_02",2020,"Uvalde_p_2b","p","c4","c4_graminoid",NA,7.6,126,2,7,233,5.43,0.0714,1.07,43.89,76.02,81.34,41.02,-14.82,0.54,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.111619151578607
"477","Uvalde_2020_02",2020,"Uvalde_p_3a","p","c3","c3_graminoid",NA,7.6,126,2,7,233,2.07,0.0252,1.21,44.13,82.21,99.47,36.47,-29.34,0.32,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.778099163984582
"478","Uvalde_2020_02",2020,"Uvalde_p_3b","p","c3","c3_forb",NA,7.6,126,2,7,233,1.47,0.0204,1.44,42.01,71.99,103.67,29.17,-29.92,1.61,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.805136042059846
"479","Uvalde_2020_02",2020,"Uvalde_p_4a","p","c3","c3_graminoid",NA,7.6,126,2,7,233,3.21,0.0248,1.01,42.03,129.3,130.59,41.61,-29.87,1.74,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.802804003368219
"480","Uvalde_2020_02",2020,"Uvalde_p_4b","p","c3","c3_forb",NA,7.6,126,2,7,233,3.87,0.042,1.45,45.13,92.26,133.78,31.12,-30.94,1.89,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.852762160356473
"481","Uvalde_2020_02",2020,"Uvalde_p_4c","p","c3","c3_forb","SOEL",7.6,126,2,7,233,2.81,0.0317,2.06,42.78,88.52,182.35,20.77,-31.61,0.04,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.88410057858098
"482","Uvalde_2020_02",2020,"Uvalde_p_4d","p",NA,"_forb",NA,7.6,126,2,7,233,0.76,0.0052,1.87,42.76,146.53,274.01,22.87,NA,NA,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,NA
"483","Uvalde_2020_02",2020,"Uvalde_p_4e","p","c3","c3_forb",NA,7.6,126,2,7,233,2.14,0.0182,2.48,45.01,117.61,291.67,18.15,-30.71,-2.05,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.842014184819342
"484","Uvalde_2020_02",2020,"Uvalde_p_5a","p","c4","c4_graminoid",NA,7.6,126,2,7,233,2.93,0.0268,1.11,43.61,109.41,121.45,39.29,-14.65,0.96,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.103932343343253
"485","Uvalde_2020_02",2020,"Uvalde_p_5b","p","c3","c3_forb",NA,7.6,126,2,7,233,6.94,0.1006,1.14,33.14,69.03,78.69,29.07,-29.02,3.67,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.763196092188223
"486","Uvalde_2020_02",2020,"Uvalde_p_5c","p","c3","c3_forb","AMAR2",7.6,126,2,7,233,4.22,0.057,2.17,46.25,73.97,160.51,21.31,-30.96,1.21,57.912,-1.39626909324807,0.304892069992765,3.55600000000001,-0.0811109538624411,0.0339283072443631,0.853697008041532
"487","Uvalde_2020_02",2021,"Uvalde_i_01","i","c3","c3_forb",NA,7.7,161,9,10,338,21.834,0.2175,NA,NA,100.3862069,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"488","Uvalde_2020_02",2021,"Uvalde_i_02","i","c3","c3_forb",NA,7.7,161,9,10,338,17.337,0.1753,NA,NA,98.89903023,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"489","Uvalde_2020_02",2021,"Uvalde_i_03","i","c3","c3_forb",NA,7.7,161,9,10,338,22.299,0.2159,NA,NA,103.2839277,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"490","Uvalde_2020_02",2021,"Uvalde_i_04","i","c4","c4_graminoid","PAVI2",7.7,161,9,10,338,16.903,0.1356,NA,NA,124.6533923,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"491","Uvalde_2020_02",2021,"Uvalde_i_05","i","c4","c4_graminoid","PAVI2",7.7,161,9,10,338,13.603,0.1192,NA,NA,114.1191275,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"492","Uvalde_2020_02",2021,"Uvalde_i_06","i","c4","c4_graminoid","PAVI2",7.7,161,9,10,338,12.985,0.0955,NA,NA,135.9685864,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"493","Uvalde_2020_02",2021,"Uvalde_i_07","i","c3","c3_tree","DITE6",7.7,161,9,10,338,12.948,0.1615,NA,NA,80.17337461,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"494","Uvalde_2020_02",2021,"Uvalde_i_08","i","c3","c3_tree","DITE7",7.7,161,9,10,338,18.634,0.3301,NA,NA,56.44956074,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"495","Uvalde_2020_02",2021,"Uvalde_i_09","i","c3","c3_tree","DITE8",7.7,161,9,10,338,24.326,0.2122,NA,NA,114.6371348,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"496","Uvalde_2020_02",2021,"Uvalde_i_10","i","c3","c3_forb","AMPS",7.7,161,9,10,338,15.128,0.1159,NA,NA,130.5263158,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"497","Uvalde_2020_02",2021,"Uvalde_i_11","i","c3","c3_forb","AMPS",7.7,161,9,10,338,8.744,0.0839,NA,NA,104.2193087,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"498","Uvalde_2020_02",2021,"Uvalde_i_12","i","c3","c3_forb","AMPS",7.7,161,9,10,338,5.309,0.0526,NA,NA,100.9315589,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"499","Uvalde_2020_02",2021,"Uvalde_i_13","i","c3","c3_forb","SOEL",7.7,161,9,10,338,16.443,0.2272,NA,NA,72.37235915,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"500","Uvalde_2020_02",2021,"Uvalde_i_14","i","c3","c3_forb","SOEL",7.7,161,9,10,338,14.046,0.1501,NA,NA,93.57761492,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"501","Uvalde_2020_02",2021,"Uvalde_i_15","i","c3","c3_forb","SOEL",7.7,161,9,10,338,22.785,0.1675,NA,NA,136.0298507,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"502","Uvalde_2020_02",2021,"Uvalde_i_16","i","c3","c3_forb",NA,7.7,161,9,10,338,9.676,0.0906,NA,NA,106.799117,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"503","Uvalde_2020_02",2021,"Uvalde_i_17","i","c3","c3_forb",NA,7.7,161,9,10,338,12.867,0.1083,NA,NA,118.8088643,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"504","Uvalde_2020_02",2021,"Uvalde_i_18","i","c3","c3_forb",NA,7.7,161,9,10,338,10.307,0.0934,NA,NA,110.3533191,NA,NA,NA,NA,113.792,0.439375035309292,0.668920940117843,59.182,0.815812688190507,0.729950667191022,NA
"505","Uvalde_2020_02",2021,"Uvalde_p_1a","p","c3","c3_forb","CRGLL",7.8,144,5,11,385,9.552,0.0896,NA,NA,106.6071429,NA,NA,NA,NA,56.896,-1.30497356993256,0.310942847221347,62.23,0.649418434285679,0.631860383296878,NA
"506","Uvalde_2020_02",2021,"Uvalde_p_1b","p","c3","c3_forb","RUNU",7.8,144,5,11,385,23.942,0.255,NA,NA,93.89019608,NA,NA,NA,NA,56.896,-1.30497356993256,0.310942847221347,62.23,0.649418434285679,0.631860383296878,NA
"507","Uvalde_2020_02",2021,"Uvalde_p_1c","p","c3","c3_graminoid","LOPE",7.8,144,5,11,385,10.617,0.083,NA,NA,127.9156627,NA,NA,NA,NA,56.896,-1.30497356993256,0.310942847221347,62.23,0.649418434285679,0.631860383296878,NA
"508","Uvalde_2020_02",2021,"Uvalde_p_2a","p","c3","c3_graminoid","LOPE",7.8,144,5,11,385,8.023,0.1043,NA,NA,76.92233941,NA,NA,NA,NA,56.896,-1.30497356993256,0.310942847221347,62.23,0.649418434285679,0.631860383296878,NA
"509","Uvalde_2020_02",2021,"Uvalde_p_2b","p","c3","c3_forb","CRGLL",7.8,144,5,11,385,8.901,0.0904,NA,NA,98.46238938,NA,NA,NA,NA,56.896,-1.30497356993256,0.310942847221347,62.23,0.649418434285679,0.631860383296878,NA
"510","Uvalde_2020_02",2021,"Uvalde_p_2c","p","c3","c3_forb","RUNU",7.8,144,5,11,385,28.833,0.312,NA,NA,92.41346154,NA,NA,NA,NA,56.896,-1.30497356993256,0.310942847221347,62.23,0.649418434285679,0.631860383296878,NA
"511","Uvalde_2020_02",2021,"Uvalde_p_3a","p","c3","c3_forb","CRGLL",7.8,144,5,11,385,11.126,0.1169,NA,NA,95.17536356,NA,NA,NA,NA,56.896,-1.30497356993256,0.310942847221347,62.23,0.649418434285679,0.631860383296878,NA
"512","Uvalde_2020_02",2021,"Uvalde_p_3b","p","c3","c3_graminoid","LOPE",7.8,144,5,11,385,10.371,0.1668,NA,NA,62.17625899,NA,NA,NA,NA,56.896,-1.30497356993256,0.310942847221347,62.23,0.649418434285679,0.631860383296878,NA
"513","Uvalde_2020_02",2021,"Uvalde_p_3c","p","c3","c3_forb","RUNU",7.8,144,5,11,385,27.434,0.3873,NA,NA,70.83397883,NA,NA,NA,NA,56.896,-1.30497356993256,0.310942847221347,62.23,0.649418434285679,0.631860383296878,NA
"514","Uvalde_2020_02",2021,"Uvalde_p_4a","p","c3","c3_graminoid","LOPE",7.8,144,5,11,385,14.506,0.1437,NA,NA,100.9464161,NA,NA,NA,NA,56.896,-1.30497356993256,0.310942847221347,62.23,0.649418434285679,0.631860383296878,NA
