id,d13C,d15n,photo,id,coll.number,NCRS.code,family,growth.habit,duration,group,n.fixer,pft
2020eco_Harris_i_08,-30.41,8.58,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Harris_i_09,-30.89,5.74,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Harris_i_10,-31.59,10.06,c3,Helianthus annuus L.,HEAN 3,HEAN 3,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Harris_i_11,-30.87,9.88,c3,Helianthus annuus L.,HEAN 3,HEAN 3,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Harris_i_12,-31.47,10.45,c3,Helianthus annuus L.,HEAN 3,HEAN 3,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Harris_i_13,-12.83,1.34,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Harris_i_14,-12.94,0.84,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Harris_i_15,-13.47,0.64,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Harris_p_1a,-13.84,6.88,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Harris_p_1b,-31.19,-0.12,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Harris_p_1c,-29.94,1.93,c3,,,,,forb,,dicot,,c3_forb
2020eco_Harris_p_2a,-13.73,2.71,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Harris_p_2b,-30.81,1.07,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
2020eco_Harris_p_2c,-12.8,2.17,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Harris_p_3a,-13.17,0.1,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Harris_p_3b,-31.4,0.35,c3,,,,,forb,,dicot,,c3_forb
2020eco_Harris_p_3c,-29.74,-0.55,c3,,,,,forb,,dicot,,c3_forb
2020eco_Harris_p_4a,-13.54,4.58,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Harris_p_5a,-12.99,6.33,c4,Sorghum hapepense L.,SOHA,SOHA,Poaceae,graminoid,perennial,monocot,no,c4_graminoid
2020eco_Harris_p_5b,-31.14,4.51,c3,Ambrosia artemisiifolia L.,AMAR2,AMAR2,Asteraceae,forb,annual,dicot,no,c3_forb
