id,dry.wgt
2021eco_Fayette12_i_11,NA
2021eco_Fayette12_i_12,0.1365
2021eco_Fayette12_i_13,NA
2021eco_Fayette12_i_14,NA
2021eco_Fayette12_i_15,NA
2021eco_Harris_i_01,0.0876
2021eco_Harris_i_02,0.0351
2021eco_Harris_i_03,0.0746
2021eco_Harris_i_04,0.2735
2021eco_Harris_i_05,0.1426
2021eco_Harris_i_06,0.3191
2021eco_Harris_i_07,0.1159
2021eco_Harris_i_08,0.1321
2021eco_Harris_i_09,0.1253
2021eco_Harris_i_10,0.1717
2021eco_Harris_i_11,0.1177
2021eco_Harris_i_12,0.1191
2021eco_Harris_i_13,0.2868
2021eco_Harris_i_14,0.3679
2021eco_Harris_i_15,NA
2021eco_Hays_i_01,0.29
2021eco_Hays_i_02,0.1727
2021eco_Hays_i_03,0.1434
2021eco_Hays_i_04,0.0874
2021eco_Hays_i_05,0.1317
2021eco_Hays_i_06,NA
2021eco_Hays_i_07,0.4816
2021eco_Hays_i_08,0.5491
2021eco_Hays_i_09,0.5796
2021eco_Hays_i_10,0.1829
2021eco_Hays_i_11,0.1505
2021eco_Hays_i_12,NA
2021eco_Hays_i_13,0.16
2021eco_Hays_i_14,0.1326
2021eco_Hays_i_15,0.1184
2021eco_Kerr_i_01,0.1608
2021eco_Kerr_i_02,0.0873
2021eco_Kerr_i_03,0.3507
2021eco_Kerr_i_04,NA
2021eco_Kerr_i_05,NA
2021eco_Kerr_i_06,0.1415
2021eco_Kerr_i_07,0.4769
2021eco_Kerr_i_08,0.5235
2021eco_Kerr_i_09,0.1557
2021eco_Kerr_i_10,0.0698
2021eco_Kerr_i_11,0.0793
2021eco_Kerr_i_12,0.0934
2021eco_Kerr_i_13,0.1426
2021eco_Kerr_i_14,0.2951
2021eco_Kerr_i_15,0.1665
2021eco_Uvalde_i_01,0.2175
2021eco_Uvalde_i_02,0.1753
2021eco_Uvalde_i_03,0.2159
2021eco_Uvalde_i_04,0.1356
2021eco_Uvalde_i_05,0.1192
2021eco_Uvalde_i_06,0.0955
2021eco_Uvalde_i_07,0.1615
2021eco_Uvalde_i_08,0.3301
2021eco_Uvalde_i_09,0.2122
2021eco_Uvalde_i_10,0.1159
2021eco_Uvalde_i_11,0.0839
2021eco_Uvalde_i_12,0.0526
2021eco_Uvalde_i_13,0.2272
2021eco_Uvalde_i_14,0.1501
2021eco_Uvalde_i_15,0.1675
2021eco_Uvalde_i_16,0.0906
2021eco_Uvalde_i_17,0.1083
2021eco_Uvalde_i_18,0.0934
2021eco_Washington_i_01,0.3
2021eco_Washington_i_02,0.27
2021eco_Washington_i_03,0.1951
2021eco_Washington_i_04,0.2403
2021eco_Washington_i_05,0.4594
2021eco_Washington_i_06,0.3075
2021eco_Washington_i_07,0.2137
2021eco_Washington_i_08,0.1861
2021eco_Washington_i_09,0.1503
2021eco_Washington_i_10,0.3205
2021eco_Washington_i_11,0.4103
2021eco_Washington_i_12,0.2368
2021eco_Washington_i_13,0.268
2021eco_Washington_i_14,0.1602
2021eco_Washington_i_15,0.2448
2021eco_Bandera_p_1a,0.1081
2021eco_Bandera_p_2a,0.1426
2021eco_Bandera_p_2b,0.1206
2021eco_Bandera_p_2c,0.1896
2021eco_Bandera_p_2d,0.0526
2021eco_Bandera_p_3a,0.103
2021eco_Bandera_p_3b,0.0877
2021eco_Bandera_p_4a,0.1249
2021eco_Bandera_p_4b,0.3167
2021eco_Bandera_p_5a,0.1125
2021eco_Bandera_p_5b,0.0736
2021eco_Bandera_p_SOTP,0.2723
2021eco_Bell_p_1a,0.2202
2021eco_Bell_p_1b,0.2715
2021eco_Bell_p_1c,0.1009
2021eco_Bell_p_2a,0.0703
2021eco_Bell_p_2b,0.2664
2021eco_Bell_p_2c,0.1881
2021eco_Bell_p_2d,0.08
2021eco_Bell_p_2e,0.1
